StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
709420,4,20000487,1,2020,Andre Iguodala,MIA,SF,0,20000004,2020-10-31T22:19:28,21,316.3,426,5,38.8,89.8,44.1,52.1,24.5,41.8,59.7,14.3,47.9,30.4,6.2,15.3,40.8,17.3,62.2,79.6,4.9,16.0,10.6,52.0,14.3,21.4,26.5,35.7,97.9,96.5,51.8,12.3,17.3,1.7,5.2,22.0,13.1,352.0,340.7,352.0,-27.5,0.0,0.0,340.7,False,,Scrambled
709728,13,20000492,1,2020,Justin Holiday,IND,SG,6,20000013,2020-10-31T22:19:28,73,1277.1,1862,35,212.2,495.7,43.7,57.7,75.5,158.1,48.7,136.7,337.6,41.3,54.1,68.3,80.7,32.6,210.1,242.8,2.0,12.5,7.4,94.9,89.8,46.9,44.9,139.7,615.1,525.8,59.7,14.2,7.0,2.4,2.3,8.2,13.8,1413.8,1380.1,1413.8,36.7,0.0,0.0,1380.1,False,,Scrambled
710903,15,20000497,1,2020,Giannis Antetokounmpo,MIL,PF,63,20000015,2020-10-31T22:19:28,63,3508.0,1954,57,698.7,1262.8,56.4,60.2,607.9,963.9,64.4,90.8,298.9,31.0,406.0,641.6,64.6,142.8,730.3,873.1,8.0,35.5,22.5,361.1,62.2,67.3,234.6,198.9,1894.1,1545.1,62.5,39.5,34.8,1.5,3.2,13.4,38.4,3637.5,3806.1,3637.5,695.6,57.1,4.2,3806.1,False,,Scrambled
710876,15,20000498,1,2020,Ersan Ilyasova,MIL,PF,8,20000015,2020-10-31T22:19:28,63,913.8,1006,23,148.9,319.3,47.5,55.7,97.9,179.5,55.6,51.0,139.7,37.2,73.4,88.7,84.5,63.2,244.8,308.0,6.9,23.1,15.4,50.0,23.5,17.3,34.7,96.9,422.3,358.3,60.1,18.4,6.9,1.1,1.6,9.2,16.5,954.6,979.7,954.6,82.6,5.2,0.0,979.7,False,,Scrambled
710913,15,20000500,1,2020,Khris Middleton,MIL,SF,59,20000015,2020-10-31T22:19:28,62,2178.6,1889,48,480.4,965.9,50.7,58.5,330.5,604.9,55.7,149.9,361.1,42.3,212.2,231.5,93.4,44.9,344.8,389.6,2.6,17.3,10.4,270.3,54.1,7.3,139.7,144.8,1322.9,1067.8,63.1,26.4,22.7,1.4,0.3,11.8,27.0,2239.8,2353.6,2239.8,511.0,7.3,0.0,2353.6,False,,Scrambled
709450,5,20000501,1,2020,Michael Carter-Williams,ORL,PG,0,20000005,2020-10-31T22:19:28,45,768.0,850,4,113.2,265.2,43.6,47.8,90.8,188.7,49.1,22.4,76.5,29.9,80.6,96.9,84.9,46.9,103.0,149.9,6.0,13.8,9.9,111.2,50.0,22.4,53.0,88.7,329.5,307.8,54.6,17.7,19.5,3.0,2.5,15.0,18.8,840.4,813.2,840.4,23.5,0.0,0.0,813.2,False,,Scrambled
709590,14,20000502,1,2020,John Henson,DET,PF,8,20000014,2020-10-31T22:19:28,40,604.2,612,12,96.9,174.4,56.7,59.1,88.7,137.7,65.7,8.3,36.7,22.6,23.5,46.9,51.0,46.9,118.3,165.2,8.9,22.7,15.6,55.1,24.5,42.8,36.7,79.6,225.4,195.1,59.1,19.1,14.0,2.1,6.1,16.2,17.0,671.6,636.5,671.6,-20.4,1.0,0.0,636.5,False,,Scrambled
708334,27,20000505,1,2020,Jared Dudley,LAL,SF,1,20000027,2020-10-31T22:19:28,45,204.4,370,33,24.5,61.2,40.8,56.1,6.2,18.4,34.0,18.4,42.8,43.8,2.1,2.1,102.0,6.2,46.9,53.0,1.9,14.0,8.1,28.6,15.3,3.1,8.3,41.8,69.4,62.1,56.8,9.6,9.8,2.0,0.8,11.8,8.3,222.8,220.3,222.8,17.3,0.0,0.0,220.3,False,,Scrambled
710904,30,20000511,1,2020,Jabari Parker,SAC,PF,23,20000030,2020-10-31T22:19:28,38,966.8,935,52,223.4,437.6,52.0,55.9,190.7,316.2,61.5,32.6,121.4,27.4,62.2,82.6,76.8,62.2,156.1,218.3,7.6,19.6,13.4,69.4,45.9,16.3,65.3,101.0,541.6,473.9,58.3,21.8,12.5,2.5,1.7,12.3,25.6,1029.0,1029.7,1029.0,-95.9,2.1,0.0,1029.7,False,,Scrambled
709759,19,20000512,1,2020,Pau Gasol,POR,C,0,20000019,2020-10-31T22:19:28,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
